role,company,experience,location,salary,skills,description,job_type,duration,posted_date,job_url
Full Stack Developer,LogiQlink TechnologiesActively hiring,"Full Stack DeveloperLogiQlink TechnologiesActively hiringIndore₹ 2,00,000 - 3,60,000₹ 2,00,000 - 3,60,000 /year1 year(s)Key responsibilities: 

1. Design, develop, and maintain full stack web applications
2. Build robust backend services and APIs using Python
3. Collaborate closely with product, design, and QA teamsPythonReact1 week ago",,Not Disclosed,Python | React | Informal dress code | 5 days a week,"About the job Key responsibilities: 1. Design, develop, and maintain full stack web applications 2. Build robust backend services and APIs using Python 3. Collaborate closely with product, design, and QA teams Skill(s) required Python React Earn certifications in these skills Learn Python Learn ReactJS Who can apply Only those candidates can apply who: 1. have minimum 1 years of experience Salary Probation: Duration: Salary during probation: After probation: Annual CTC: ₹ 2,00,000 - 3,60,000 /year Perks Informal dress code 5 days a week Number of openings 1 About LogiQlink Technologies Website Logiqlink Technologies is a company that specializes in technology consulting and engineering. Our areas of expertise include developing IoT products, crafting digital experiences, and creating digital marketing strategies. We offer a comprehensive range of engineering services and industry knowledge to assist our clients in building new products and implementing digital transformations in their ",Full-time,,,https://internshala.com/job/detail/full-stack-developer-job-in-indore-at-logiqlink-technologies1772804255
Full Stack Developer,Techvolt Software Private Limited,"Full Stack DeveloperTechvolt Software Private LimitedCoimbatore₹ 2,00,000 - 2,40,000₹ 2,00,000 - 2,40,000 /year1 year(s)Key responsibilities: 

1. Working as Developer - Mern stack Development
2. Working on Internal and external projects
3. Guiding & Assiting-Trainees and InternsHTMLCSSJavaScriptMongoDBNode.jsReact3 days ago",,Not Disclosed,CSS | HTML | JavaScript | MongoDB | Node.js | React,"About the job Key responsibilities: 1. Working as Developer - Mern stack Development 2. Working on Internal and external projects 3. Guiding & Assiting-Trainees and Interns Skill(s) required CSS HTML JavaScript MongoDB Node.js React Earn certifications in these skills Learn CSS Learn HTML Learn Node.JS using Javascript Learn Software Testing using Javascript Learn JavaScript Learn Node.JS Learn ReactJS Who can apply Only those candidates can apply who: 1. have minimum 1 years of experience Other requirements Preferred from Engineering Background or Master Degree Good English Fluency Who can join immediately within 15days Salary Probation: Duration: Salary during probation: After probation: Annual CTC: ₹ 2,00,000 - 2,40,000 /year Number of openings 3 About Techvolt Software Private Limited Website Techvolt Software Private Limited is a startup located in Coimbatore. We are involved in the business entity of web development, Android development, and software testing along with embedded a",Full-time,,3 days ago,https://internshala.com/job/detail/full-stack-developer-job-in-coimbatore-at-techvolt-software-private-limited1773294802
Full Stack Developer,Sparkmile Private Limited,"Full Stack DeveloperSparkmile Private LimitedGurgaon₹ 7,00,000₹ 7,00,000 /year1 year(s)Key Responsibilities: 

1. Develop scalable web applications using Python (Flask) for backend and React + Next.js for frontend.
2. Design and integrate RESTful APIs with third-party systems and internal modules.
3. Set up CI/CD pipelines using Jenkins.
4. Work in a Linux and Windows hybrid environment.
5. Use Postman for API testing and documentation.
6. Write clean, testable, and efficient code following best practices.
7. Participate in code reviews, testing, debugging, and performance tuning.
8. Collaborate with product owners, designers, and QA for end-to-end feature delivery.PythonNode.jsReactFlaskJenkinsPostmanNext.js+1 more4 days ago",,Not Disclosed,AWS CloudFormation | Flask | Jenkins | Next.js | Node.js | Postman | Python | React,"About the job Key Responsibilities: 1. Develop scalable web applications using Python (Flask) for backend and React + Next.js for frontend. 2. Design and integrate RESTful APIs with third-party systems and internal modules. 3. Set up CI/CD pipelines using Jenkins. 4. Work in a Linux and Windows hybrid environment. 5. Use Postman for API testing and documentation. 6. Write clean, testable, and efficient code following best practices. 7. Participate in code reviews, testing, debugging, and performance tuning. 8. Collaborate with product owners, designers, and QA for end-to-end feature delivery. Skill(s) required AWS CloudFormation Flask Jenkins Next.js Node.js Postman Python React Earn certifications in these skills Learn AWS CloudFormation Learn Node.JS Learn Python Learn ReactJS Who can apply Only those candidates can apply who: 1. have minimum 1 years of experience 2. are from Gurgaon only Other requirements 1. Proficient in Python and Flask for building backend services. 2. Strong ha",Full-time,,4 days ago,https://internshala.com/job/detail/full-stack-developer-job-in-gurgaon-at-sparkmile-private-limited1773287968
Full Stack Developer,InternifyActively hiring,"Full Stack DeveloperInternifyActively hiringKochi₹ 4,00,000 - 5,00,000₹ 4,00,000 - 5,00,000 /year1 year(s)Develop and maintain scalable web applications using the MERN stack.
Build secure REST APIs and integrate third-party services.
Develop responsive frontend interfaces using React.js.
Optimise application performance and database queries.
Collaborate with UI/UX designers for seamless implementation.
Ensure code quality, testing, and deployment readiness.MongoDBNode.jsExpress.jsReactREST API1 week agoBe an early applicant",,Not Disclosed,Express.js | MongoDB | Node.js | React | REST API | Free snacks & beverages,"About the job Develop and maintain scalable web applications using the MERN stack. Build secure REST APIs and integrate third-party services. Develop responsive frontend interfaces using React.js. Optimise application performance and database queries. Collaborate with UI/UX designers for seamless implementation. Ensure code quality, testing, and deployment readiness. Skill(s) required Express.js MongoDB Node.js React REST API Earn certifications in these skills Learn Node.JS Learn ReactJS Learn VLSI Learn AI in Data Science Learn Cloud Computing Learn Embedded Systems Learn Web Development Learn Web development Learn Vibe Coding Learn Full Stack Development Learn Data Structures & Algorithms Learn SQL for Data Analytics Learn Git & Github + 6 more skills Who can apply Only those candidates can apply who: 1. have minimum 1 years of experience 2. are from Kochi only Other requirements Experience working on SaaS, EdTech, or job portal platforms preferred. Strong understanding of authentic",Full-time,,,https://internshala.com/job/detail/full-stack-developer-job-in-kochi-at-internify1772438969
Full Stack Developer,Apptroid,"Full Stack DeveloperApptroidWork from home₹ 2,50,000 - 3,00,000₹ 2,50,000 - 3,00,000 /yearNo experience requiredKey responsibilities: 
- Assist in developing, testing, and deploying web applications
- Work on both client-side (React/NextJS) and server-side (Node.js/PHP/Python) technologies
- Collaborate with designers and product teams to deliver features
- Write clean, efficient, and maintainable code

Requirements:
- Basic understanding of HTML, CSS, JavaScript
- Familiarity with one front-end and one back-end framework
- Knowledge of databases (SQL/NoSQL)
- Good problem-solving and debugging skills
- Eagerness to learn and growMySQLJavaScriptMongoDBGitNode.jsReactGitlab1 week agoFresher  Job",Work From Home,Not Disclosed,Git | Gitlab | JavaScript | MongoDB | MySQL | Node.js | React,"About the job Key responsibilities: - Assist in developing, testing, and deploying web applications - Work on both client-side (React/NextJS) and server-side (Node.js/PHP/Python) technologies - Collaborate with designers and product teams to deliver features - Write clean, efficient, and maintainable code Requirements: - Basic understanding of HTML, CSS, JavaScript - Familiarity with one front-end and one back-end framework - Knowledge of databases (SQL/NoSQL) - Good problem-solving and debugging skills - Eagerness to learn and grow Skill(s) required Git Gitlab JavaScript MongoDB MySQL Node.js React Earn certifications in these skills Learn Node.JS using Javascript Learn Software Testing using Javascript Learn JavaScript Learn MySQL Learn Node.JS Learn ReactJS Salary Probation: Duration: 3 months Salary during probation: ₹10,000 - 11,000 /month (only for freshers) After probation: Annual CTC: ₹ 2,50,000 - 3,00,000 /year Number of openings 2 About Apptroid Website We develop World class",Full-time,,,https://internshala.com/job/detail/fresher-remote-full-stack-developer-job-at-apptroid1772628719
Full Stack Developer,4N EcoTechActively hiring,"Full Stack Developer4N EcoTechActively hiringBangalore₹ 3,00,000₹ 3,00,000 /year1 year(s)Key Responsibilities:

1. Design, develop, and maintain user-friendly and responsive applications, including features such as user authentication, form creation, and API integrations.
2. Build robust and secure APIs using Next.js, Node.js, and Express.js.
3. Develop mobile applications using React Native.
4. Apply strong analytical skills to design and implement efficient back-end logic.
5. Manage and interact with MongoDB databases.
6. Implement front-end functionality using Next.js, React.js, JavaScript, and Tailwind CSS.
7. Demonstrate a good understanding of UX/UI design and development, including UI components such as ShadCN.
8. Write clean, maintainable, well-documented, and unit-tested code.
9. Collaborate effectively with designers, product managers, and other engineers.
10. Stay up to date with the latest web development trends and technologies.
11. Ensure timely delivery of high-quality code.
12. Demonstrate the ability to learn and adapt quickly.JavaScriptMongoDBNode.jsReact NativeInterpersonal skillsNext.jsEffective Communication+1 more2 days ago",,Not Disclosed,Effective Communication | Interpersonal skills | JavaScript | MERN | MongoDB | Next.js | Node.js | React Native | Informal dress code | 5 days a week,"About the job Key Responsibilities: 1. Design, develop, and maintain user-friendly and responsive applications, including features such as user authentication, form creation, and API integrations. 2. Build robust and secure APIs using Next.js, Node.js, and Express.js. 3. Develop mobile applications using React Native. 4. Apply strong analytical skills to design and implement efficient back-end logic. 5. Manage and interact with MongoDB databases. 6. Implement front-end functionality using Next.js, React.js, JavaScript, and Tailwind CSS. 7. Demonstrate a good understanding of UX/UI design and development, including UI components such as ShadCN. 8. Write clean, maintainable, well-documented, and unit-tested code. 9. Collaborate effectively with designers, product managers, and other engineers. 10. Stay up to date with the latest web development trends and technologies. 11. Ensure timely delivery of high-quality code. 12. Demonstrate the ability to learn and adapt quickly. Skill(s) requir",Full-time,,,https://internshala.com/job/detail/full-stack-developer-job-in-bangalore-at-4n-ecotech1773377629
Full Stack Developer,Serpwize Technologies LLP,"Full Stack DeveloperSerpwize Technologies LLPWork from home₹ 2,60,000 - 3,50,000₹ 2,60,000 - 3,50,000 /year1 year(s)As a Full Stack Developer at Serpwize Technologies LLP, you will have the opportunity to work with a cutting-edge tech stack that includes PHP, MySQL, HTML, CSS, JavaScript, Python, MongoDB, AngularJS, Node.js, React, Bubble.io, WordPress, ChatGPT, Claude, and Artificial intelligence. You will be responsible for developing and maintaining innovative web applications and software solutions that drive our business forward. If you are passionate about technology and love working in a fast-paced and collaborative environment, this is the perfect opportunity for you.

Key Responsibilities:
1. Develop and maintain web applications using PHP, MySQL, HTML, CSS, and JavaScript.
2. Implement new features and functionalities using Python, MongoDB, AngularJS, Node.js, and React.
3. Utilize Bubble.io and WordPress to create custom solutions for clients.
4. Integrate ChatGPT, Claude, and other AI technologies into our products to enhance user experience.
5. Collaborate with cross-functional teams to deliver high-quality software solutions.
6. Stay current on emerging technologies and trends in the industry to drive innovation.
7. Troubleshoot and debug issues to ensure optimal performance and user satisfaction.PHPMySQLHTMLCSSJavaScriptPythonWordPress+8 more1 week ago",Work From Home,Not Disclosed,AngularJS | Artificial intelligence | Bubble.io | ChatGPT | Claude | CSS | HTML | JavaScript | MongoDB | MySQL | Node.js | PHP | Python | React | WordPress,"About the job As a Full Stack Developer at Serpwize Technologies LLP, you will have the opportunity to work with a cutting-edge tech stack that includes PHP, MySQL, HTML, CSS, JavaScript, Python, MongoDB, AngularJS, Node.js, React, Bubble.io, WordPress, ChatGPT, Claude, and Artificial intelligence. You will be responsible for developing and maintaining innovative web applications and software solutions that drive our business forward. If you are passionate about technology and love working in a fast-paced and collaborative environment, this is the perfect opportunity for you. Key Responsibilities: 1. Develop and maintain web applications using PHP, MySQL, HTML, CSS, and JavaScript. 2. Implement new features and functionalities using Python, MongoDB, AngularJS, Node.js, and React. 3. Utilize Bubble.io and WordPress to create custom solutions for clients. 4. Integrate ChatGPT, Claude, and other AI technologies into our products to enhance user experience. 5. Collaborate with cross-functi",Full-time,,,https://internshala.com/job/detail/remote-full-stack-developer-job-at-serpwize-technologies-llp1772735572
Full Stack Developer,LUMINELLE INFRATECH PRIVATE LIMITED,"Full Stack DeveloperLUMINELLE INFRATECH PRIVATE LIMITEDNoida₹ 3,00,000 - 5,00,000₹ 3,00,000 - 5,00,000 /year1 year(s)Key Responsibilities:

1. Develop responsive and user-friendly web interfaces using HTML5, CSS3, and JavaScript.
2. Build dynamic web applications using React.js or Angular frameworks.
3. Convert UI/UX designs into clean, efficient, and maintainable code.
4. Ensure the technical feasibility of UI/UX designs.
5. Optimize applications for maximum speed and scalability.
6. Integrate frontend components with backend APIs.
7. Ensure cross-browser compatibility and responsive design across devices.
8. Participate in code reviews, debugging, and testing.
9. Maintain and manage code using Git version control.
10. Stay updated with the latest frontend development trends and technologies.AngularJSReact2 days ago",,Not Disclosed,AngularJS | React | Health Insurance,"About the job Key Responsibilities: 1. Develop responsive and user-friendly web interfaces using HTML5, CSS3, and JavaScript. 2. Build dynamic web applications using React.js or Angular frameworks. 3. Convert UI/UX designs into clean, efficient, and maintainable code. 4. Ensure the technical feasibility of UI/UX designs. 5. Optimize applications for maximum speed and scalability. 6. Integrate frontend components with backend APIs. 7. Ensure cross-browser compatibility and responsive design across devices. 8. Participate in code reviews, debugging, and testing. 9. Maintain and manage code using Git version control. 10. Stay updated with the latest frontend development trends and technologies. Skill(s) required AngularJS React Earn certifications in these skills Learn AngularJS Learn ReactJS Learn VLSI Learn AI in Data Science Learn Cloud Computing Learn Embedded Systems Learn Web Development Learn Web development Learn Vibe Coding Learn Full Stack Development Learn Data Structures & Alg",Full-time,,,https://internshala.com/job/detail/full-stack-developer-job-in-noida-at-luminelle-infratech-private-limited1773380604
Full Stack Developer,Vishvena Techno Solutions Private Limited,"Full Stack DeveloperVishvena Techno Solutions Private LimitedWork from home₹ 3,00,000 - 5,00,000₹ 3,00,000 - 5,00,000 /year1 year(s)Vishvena Techno Solutions Private Limited is an AI and deep technology-focused company dedicated to building innovative solutions. We are committed to solving real-world problems using cutting-edge technologies and are looking for a passionate Full Stack Developer to join our team.

Key Responsibilities:

1. Design, develop, and maintain scalable full-stack applications.
2. Collaborate with cross-functional teams, including product managers, designers, and developers.
3. Contribute to the implementation of AI-driven solutions and deep-tech projects.
4. Lead project modules and mentor freshers or junior team members.
5. Develop clean, maintainable, and efficient code for frontend and backend systems.
6. Troubleshoot, debug, and optimize applications for performance and scalability.
7. Design, implement, and document RESTful APIs, and integrate third-party APIs.
8. Participate in code reviews and provide technical guidance to the team.
9. Stay updated with emerging technologies and AI tools, suggesting improvements for existing systems.
10. Evaluate and implement AI tools to enhance application functionality, analytics, and automation.PHPMySQLHTMLCSSJavaScriptPythonMongoDB+4 more1 week ago",Work From Home,Not Disclosed,AngularJS | CI/CD | CSS | HTML | JavaScript | MongoDB | MySQL | PHP | Python | React | REST API | 5 days a week,"About the job Vishvena Techno Solutions Private Limited is an AI and deep technology-focused company dedicated to building innovative solutions. We are committed to solving real-world problems using cutting-edge technologies and are looking for a passionate Full Stack Developer to join our team. Key Responsibilities: 1. Design, develop, and maintain scalable full-stack applications. 2. Collaborate with cross-functional teams, including product managers, designers, and developers. 3. Contribute to the implementation of AI-driven solutions and deep-tech projects. 4. Lead project modules and mentor freshers or junior team members. 5. Develop clean, maintainable, and efficient code for frontend and backend systems. 6. Troubleshoot, debug, and optimize applications for performance and scalability. 7. Design, implement, and document RESTful APIs, and integrate third-party APIs. 8. Participate in code reviews and provide technical guidance to the team. 9. Stay updated with emerging technologi",Full-time,,,https://internshala.com/job/detail/remote-full-stack-developer-job-at-vishvena-techno-solutions-private-limited1772701773
Full Stack Developer,AaptattActively hiring,"Full Stack DeveloperAaptattActively hiringWork from home₹ 2,25,000 - 2,50,000₹ 2,25,000 - 2,50,000 /yearNo experience requiredWe are looking for a talented Full Stack Developer to join our team at Aaptatt. If you are passionate about Java, MySQL, JavaScript, DBMS, Unit Testing, and Python, this is the perfect opportunity for you to showcase your skills and contribute to our innovative projects.

Key Responsibilities:
1. Develop and maintain web applications using Java, MySQL, and JavaScript.
2. Implement and manage Database Management Systems to ensure efficient data storage and retrieval.
3. Conduct unit testing to identify and fix bugs in the code.
4. Collaborate with the team to design and develop scalable and robust solutions.
5. Stay up-to-date with the latest technologies and trends in the industry.
6. Optimize application performance for maximum speed and scalability.
7. Troubleshoot and resolve technical issues as they arise to ensure seamless operation of the applications.

If you are a dynamic and creative developer with a strong background in Full Stack development, we would love to hear from you. Join us at Aaptatt and be part of a team that is dedicated to pushing boundaries and creating cutting-edge solutions.JavaMySQLJavaScriptPythonDatabase Management System (DBMS)Unit Testing3 days agoFresher  Job",Work From Home,Not Disclosed,Database Management System (DBMS) | Java | JavaScript | MySQL | Python | Unit Testing | 5 days a week | Health Insurance,"About the job We are looking for a talented Full Stack Developer to join our team at Aaptatt. If you are passionate about Java, MySQL, JavaScript, DBMS, Unit Testing, and Python, this is the perfect opportunity for you to showcase your skills and contribute to our innovative projects. Key Responsibilities: 1. Develop and maintain web applications using Java, MySQL, and JavaScript. 2. Implement and manage Database Management Systems to ensure efficient data storage and retrieval. 3. Conduct unit testing to identify and fix bugs in the code. 4. Collaborate with the team to design and develop scalable and robust solutions. 5. Stay up-to-date with the latest technologies and trends in the industry. 6. Optimize application performance for maximum speed and scalability. 7. Troubleshoot and resolve technical issues as they arise to ensure seamless operation of the applications. If you are a dynamic and creative developer with a strong background in Full Stack development, we would love to hea",Full-time,,3 days ago,https://internshala.com/job/detail/fresher-remote-full-stack-developer-job-at-aaptatt1773294181
Full Stack Developer,Lit Amor,"Full Stack DeveloperLit AmorWork from home₹ 10,00,000 - 18,00,000₹ 10,00,000 - 18,00,000 /yearNo experience requiredAs a 'Full Stack Developer' at Lit Amor, you will have the exciting opportunity to work on cutting-edge projects that will revolutionize the way people experience literature. We are looking for a talented individual who is passionate about coding and thrives in a fast-paced environment.

Key Responsibilities:

1. Design and develop innovative web applications using Python and JavaScript.
2. Collaborate with cross-functional teams to define, design, and ship new features.
3. Write clean, maintainable, and efficient code.
4. Work on both front-end and back-end technologies to ensure seamless integration.
5. Troubleshoot and debug issues to optimize performance.
6. Stay updated on emerging technologies and trends in the industry.
7. Continuously improve your skills and contribute towards the growth of the team.

If you have a strong foundation in Python and JavaScript, a keen eye for detail, and a passion for creating exceptional user experiences, then we want to hear from you. Join us at Lit Amor and be a part of a dynamic team that is shaping the future of digital literature. Apply now and take your career to new heights!JavaScript3 weeks agoFresher  Job",Work From Home,Not Disclosed,JavaScript | 5 days a week | Health Insurance | Life Insurance,"About the job As a 'Full Stack Developer' at Lit Amor, you will have the exciting opportunity to work on cutting-edge projects that will revolutionize the way people experience literature. We are looking for a talented individual who is passionate about coding and thrives in a fast-paced environment. Key Responsibilities: 1. Design and develop innovative web applications using Python and JavaScript. 2. Collaborate with cross-functional teams to define, design, and ship new features. 3. Write clean, maintainable, and efficient code. 4. Work on both front-end and back-end technologies to ensure seamless integration. 5. Troubleshoot and debug issues to optimize performance. 6. Stay updated on emerging technologies and trends in the industry. 7. Continuously improve your skills and contribute towards the growth of the team. If you have a strong foundation in Python and JavaScript, a keen eye for detail, and a passion for creating exceptional user experiences, then we want to hear from you.",Full-time,,,https://internshala.com/job/detail/fresher-remote-full-stack-developer-job-at-lit-amor1771556474
Full Stack Developer,"Hamden Technology (London, United Kingdom)Actively hiring","Full Stack DeveloperHamden Technology (London, United Kingdom)Actively hiringWork from home₹ 5,50,000 - 13,00,000₹ 5,50,000 - 13,00,000 /year1 year(s)Key Responsibilities:

1. Develop and maintain scalable web applications and SaaS platforms using modern frameworks.
2. Convert product ideas into functional MVPs quickly, using AI tools such as ChatGPT, Copilot, and similar platforms to accelerate development.
3. Build responsive front-end interfaces using React or Next.js.
4. Develop secure and efficient back-end systems using Node.js, Django, or equivalent frameworks.
5. Design, manage, and optimise databases such as PostgreSQL, Supabase, or Firebase.
6. Integrate third-party APIs, payment gateways, and automation tools.
7. Deploy and manage applications on cloud platforms such as AWS or Azure.
8. Ensure performance, security, scalability, and clean code standards.
9. Collaborate directly with the founder to refine product features and improve internal systems.
10. Continuously explore and implement modern AI-driven development workflows.PHPMySQLHTMLCSSJavaScriptPythonMongoDB+4 more3 weeks agoInternational",Work From Home,Not Disclosed,AngularJS | Bubble.io | CSS | HTML | JavaScript | MongoDB | MySQL | Node.js | PHP | Python | React,"About the job Key Responsibilities: 1.  Develop and maintain scalable web applications and SaaS platforms using modern frameworks. 2. Convert product ideas into functional MVPs quickly, using AI tools such as ChatGPT, Copilot, and similar platforms to accelerate development. 3.  Build responsive front-end interfaces using React or Next.js. 4.  Develop secure and efficient back-end systems using Node.js, Django, or equivalent frameworks. 5.  Design, manage, and optimise databases such as PostgreSQL, Supabase, or Firebase. 6.  Integrate third-party APIs, payment gateways, and automation tools. 7.  Deploy and manage applications on cloud platforms such as AWS or Azure. 8.  Ensure performance, security, scalability, and clean code standards. 9.  Collaborate directly with the founder to refine product features and improve internal systems. 10.  Continuously explore and implement modern AI-driven development workflows. Skill(s) required AngularJS Bubble.io CSS HTML JavaScript MongoDB MySQL N",Full-time,,,https://internshala.com/job/detail/remote-full-stack-developer-job-at-hamden-technology1771387151
Full Stack Developer,HEXA SOLUTIONS,"Full Stack DeveloperHEXA SOLUTIONSWork from home₹ 5,50,000 - 7,00,000₹ 5,50,000 - 7,00,000 /yearNo experience requiredWe are seeking a talented Full Stack Developer to join our dynamic team. If you are proficient in PHP, MySQL, AngularJS, HTML, React, CSS, JavaScript, Python, Node.js, MongoDB, Bubble.io, JSON, GitHub, Angular, Web development, Software Development Life Cycle (SDLC), MERN, Frontend development, Express.js, and REST API, we want to hear from you!

Key responsibilities:

1. Develop and maintain high-quality web applications using a variety of programming languages and tools.
2. Collaborate with cross-functional teams to design, build, and implement new features and functionalities.
3. Troubleshoot and debug issues to ensure a smooth and seamless user experience.
4. Optimize applications for maximum speed and scalability.
5. Stay current on emerging technologies and trends in the industry to continuously improve our products and services.
6. Follow best practices and standards in software development to produce clean and efficient code.
7. Participate in all phases of the development lifecycle, including analysis, design, implementation, testing, and deployment.PHPMySQLHTMLCSSJavaScriptPythonMongoDB+13 more2 weeks agoFresher  Job",Work From Home,Not Disclosed,Angular | AngularJS | Bubble.io | CSS | Express.js | Frontend development | GitHub | HTML | JavaScript | JSON | MERN | MongoDB | MySQL | Node.js | PHP | Python | React | REST API | Software Development Life Cycle (SDLC) | Web development | 5 days a week,"About the job We are seeking a talented Full Stack Developer to join our dynamic team. If you are proficient in PHP, MySQL, AngularJS, HTML, React, CSS, JavaScript, Python, Node.js, MongoDB, Bubble.io, JSON, GitHub, Angular, Web development, Software Development Life Cycle (SDLC), MERN, Frontend development, Express.js, and REST API, we want to hear from you! Key responsibilities: 1. Develop and maintain high-quality web applications using a variety of programming languages and tools. 2. Collaborate with cross-functional teams to design, build, and implement new features and functionalities. 3. Troubleshoot and debug issues to ensure a smooth and seamless user experience. 4. Optimize applications for maximum speed and scalability. 5. Stay current on emerging technologies and trends in the industry to continuously improve our products and services. 6. Follow best practices and standards in software development to produce clean and efficient code. 7. Participate in all phases of the deve",Full-time,,,https://internshala.com/job/detail/fresher-remote-full-stack-developer-job-at-hexa-solutions1771856491
Full Stack Developer,Tradearch Market Platforms Pvt LtdActively hiring,"Full Stack DeveloperTradearch Market Platforms Pvt LtdActively hiringWork from home₹ 4,80,000 - 7,20,000₹ 4,80,000 - 7,20,000 /year1 year(s)Key responsibilities: 

A. Frontend Development:
1. Design and develop high-performance interfaces using React.js and Next.js
2. Implement dynamic server-side rendering (SSR) and static site generation (SSG)
3. Optimize for accessibility (WCAG), internationalization, and device responsiveness
4. Collaborate with UI/UX designers to ensure clarity and spiritual harmony in the visual language

B. Backend Development:
1. Architect scalable APIs and microservices using Node.js (Express/NestJS)
2. Develop middleware, authentication systems, and role-based access protocols
3. Integrate Java (Spring Boot) microservices where required for legacy and enterprise-grade systems

C. Database Management:
1. Design relational and NoSQL data models with MySQL and MongoDB
2. Optimize performance using indexing, partitioning, and query planning
3. Ensure data integrity, backup processes, and audit trails for sensitive modules

D. DevOps & Deployment:
1. Set up and maintain CI/CD pipelines using GitHub Actions, GitLab CI, or equivalent
2. Containerize applications with Docker, and deploy to AWS/GCP/Render environments
3. Monitor uptime, error logs, and system health using modern observability stacks

E. Team Collaboration & Documentation:
1. Participate in agile planning, code reviews, and collaborative sprints
2. Maintain architectural diagrams, README files, and project wikis
3. Share knowledge rooted in both logic and ethics to support cross-disciplinary initiativesMySQLJavaScriptMongoDBNode.jsExpress.jsReact3 weeks ago",Work From Home,Not Disclosed,Express.js | JavaScript | MongoDB | MySQL | Node.js | React,"About the job Key responsibilities: A. Frontend Development: 1. Design and develop high-performance interfaces using React.js and Next.js 2. Implement dynamic server-side rendering (SSR) and static site generation (SSG) 3. Optimize for accessibility (WCAG), internationalization, and device responsiveness 4. Collaborate with UI/UX designers to ensure clarity and spiritual harmony in the visual language B. Backend Development: 1. Architect scalable APIs and microservices using Node.js (Express/NestJS) 2. Develop middleware, authentication systems, and role-based access protocols 3. Integrate Java (Spring Boot) microservices where required for legacy and enterprise-grade systems C. Database Management: 1. Design relational and NoSQL data models with MySQL and MongoDB 2. Optimize performance using indexing, partitioning, and query planning 3. Ensure data integrity, backup processes, and audit trails for sensitive modules D. DevOps & Deployment: 1. Set up and maintain CI/CD pipelines using ",Full-time,,,https://internshala.com/job/detail/remote-full-stack-developer-job-at-tradearch-market-platforms-pvt-ltd1771493195
Full Stack Developer,T  H Lab Private LimitedActively hiring,"Full Stack DeveloperT  H Lab Private LimitedActively hiringChandigarh,Mohali,Punjab,Haryana₹ 4,80,000 - 5,70,000₹ 4,80,000 - 5,70,000 /year1 year(s)We are looking for a talented full stack developer to join our team at T H Lab Private Limited! As a Full Stack Developer, you will be responsible for designing, developing, and maintaining web applications using a variety of technologies, including MySQL, PHP, HTML, CSS, JavaScript, Python, MongoDB, AngularJS, Node.js, React, and Bubble.io. 

Key Responsibilities:

1. Develop and maintain web applications using a combination of front-end and back-end technologies
2. Collaborate with the design team to ensure seamless integration of UI/UX designs
3. Optimize applications for maximum speed and scalability
4. Troubleshoot and debug issues as they arise
5. Implement security protocols to protect sensitive data
6. Stay up-to-date with new technologies and best practices in web development
7. Work closely with project managers and stakeholders to deliver high-quality products on time and within budget

If you are passionate about web development and have a strong background in full-stack development, we would love to hear from you! Join us at T H Lab Private Limited and be a part of an exciting and innovative team.PHPMySQLHTMLCSSJavaScriptPythonMongoDB+4 more2 weeks ago",,Not Disclosed,AngularJS | Bubble.io | CSS | HTML | JavaScript | MongoDB | MySQL | Node.js | PHP | Python | React | Informal dress code | Free snacks & beverages,"About the job We are looking for a talented full stack developer to join our team at T H Lab Private Limited! As a Full Stack Developer, you will be responsible for designing, developing, and maintaining web applications using a variety of technologies, including MySQL, PHP, HTML, CSS, JavaScript, Python, MongoDB, AngularJS, Node.js, React, and Bubble.io. Key Responsibilities: 1. Develop and maintain web applications using a combination of front-end and back-end technologies 2. Collaborate with the design team to ensure seamless integration of UI/UX designs 3. Optimize applications for maximum speed and scalability 4. Troubleshoot and debug issues as they arise 5. Implement security protocols to protect sensitive data 6. Stay up-to-date with new technologies and best practices in web development 7. Work closely with project managers and stakeholders to deliver high-quality products on time and within budget If you are passionate about web development and have a strong background in ful",Full-time,,,https://internshala.com/job/detail/full-stack-developer-job-in-multiple-locations-at-t-h-lab-private-limited1772102454
